id,order_id,product_id,product_option_id,quantity,unit_price,total_price
78,32,1,2,3,339286,1017858
79,32,7,22,2,46000,92000
80,32,4,14,1,373029,373029
81,33,10,28,2,303091,606182
82,33,1,4,1,339286,339286
83,33,9,25,3,373029,1119087
84,34,10,30,2,303091,606182
85,34,5,17,1,373029,373029
86,34,9,25,2,373029,746058
87,35,3,9,1,207660,207660
88,35,5,18,3,373029,1119087
89,36,2,6,1,565098,565098
90,36,6,19,2,251461,502922
91,36,9,26,1,373029,373029
92,37,8,24,2,373029,746058
93,37,5,17,3,373029,1119087
94,37,1,1,1,339286,339286
95,38,6,21,2,251461,502922
96,38,3,12,2,207660,415320
97,38,10,30,1,303091,303091
98,39,1,1,2,339286,678572
99,39,1,3,2,339286,678572
100,39,10,31,3,303091,909273
101,39,4,14,2,373029,746058
102,40,2,6,2,565098,1130196
103,41,1,5,2,339286,678572
104,41,3,12,2,207660,415320
105,41,5,18,2,373029,746058
106,42,3,9,1,207660,207660
107,42,3,12,1,207660,207660
108,42,1,4,1,339286,339286
109,42,2,8,3,565098,1695294
110,43,3,12,3,207660,622980
111,44,6,21,1,251461,251461
112,44,4,15,1,373029,373029
113,44,5,17,2,373029,746058
114,44,1,2,3,339286,1017858
115,45,1,3,3,339286,1017858
116,45,5,16,2,373029,746058
117,45,2,7,1,565098,565098
118,46,2,8,3,565098,1695294
119,46,1,5,1,339286,339286
120,46,4,14,2,373029,746058
121,46,8,24,3,373029,1119087
122,47,1,5,3,339286,1017858
123,47,10,28,2,303091,606182
124,47,3,10,1,207660,207660
125,47,6,21,3,251461,754383
126,48,7,22,2,46000,92000
127,48,8,24,2,373029,746058
128,48,6,19,3,251461,754383
129,49,3,11,2,207660,415320
130,50,6,19,1,251461,251461
131,51,2,7,3,565098,1695294
132,52,6,21,3,251461,754383
133,52,8,23,1,373029,373029
134,53,1,3,3,339286,1017858
135,53,3,10,2,207660,415320
136,53,2,6,1,565098,565098
137,53,4,15,3,373029,1119087
138,54,2,8,3,565098,1695294
139,54,1,4,3,339286,1017858
140,54,10,31,3,303091,909273
141,54,10,29,2,303091,606182
142,55,4,13,3,373029,1119087
143,55,6,19,1,251461,251461
144,55,7,22,1,46000,46000
145,56,4,15,2,373029,746058
146,56,6,21,3,251461,754383
147,56,2,8,3,565098,1695294
148,57,10,29,3,303091,909273
149,57,10,27,2,303091,606182
150,58,8,23,3,373029,1119087
151,59,8,24,3,373029,1119087
152,60,4,15,2,373029,746058
153,60,10,27,1,303091,303091
154,60,3,9,3,207660,622980
155,60,5,16,2,373029,746058
156,61,5,17,2,373029,746058
157,61,7,22,2,46000,92000
158,62,2,6,2,565098,1130196
159,63,3,10,3,207660,622980
160,63,10,32,3,303091,909273
161,63,4,13,1,373029,373029
162,63,10,30,1,303091,303091
163,64,2,8,2,565098,1130196
164,64,5,17,3,373029,1119087
165,65,2,7,1,565098,565098
166,65,1,3,2,339286,678572
167,65,1,2,3,339286,1017858
168,65,3,11,1,207660,207660
169,66,9,25,2,373029,746058
170,66,8,23,1,373029,373029
171,67,5,16,3,373029,1119087
172,67,6,19,1,251461,251461
173,67,7,22,2,46000,92000
174,67,2,7,3,565098,1695294
175,68,1,5,3,339286,1017858
176,69,10,29,2,303091,606182
177,69,10,29,3,303091,909273
178,69,10,28,2,303091,606182
179,70,3,9,3,207660,622980
180,70,3,12,3,207660,622980
181,70,2,6,1,565098,565098
182,70,1,1,3,339286,1017858
183,71,10,30,2,303091,606182
184,71,6,21,2,251461,502922
185,71,3,12,3,207660,622980
186,72,2,7,1,565098,565098
187,72,6,20,2,251461,502922
188,72,7,22,1,46000,46000
189,73,6,19,2,251461,502922
190,73,9,25,2,373029,746058
191,73,3,12,1,207660,207660
192,73,1,3,3,339286,1017858
193,74,10,28,3,303091,909273
194,74,5,18,3,373029,1119087
195,75,2,7,2,565098,1130196
196,75,6,19,1,251461,251461
197,75,2,8,2,565098,1130196
198,76,10,32,2,303091,606182
199,76,4,15,1,373029,373029
200,76,6,19,2,251461,502922
201,77,4,15,3,373029,1119087
202,78,3,10,1,207660,207660
203,78,4,14,3,373029,1119087
204,78,3,11,1,207660,207660
205,79,4,13,1,373029,373029
206,80,1,2,2,339286,678572
207,80,4,14,2,373029,746058
208,80,10,28,3,303091,909273
209,80,10,29,3,303091,909273
210,81,10,30,2,303091,606182
211,81,2,8,3,565098,1695294
212,82,10,29,2,303091,606182
213,83,5,17,1,373029,373029
214,83,3,9,2,207660,415320
215,83,2,8,2,565098,1130196
216,83,2,6,3,565098,1695294
217,84,1,5,2,339286,678572
218,84,3,11,3,207660,622980
219,85,5,18,2,373029,746058
220,85,1,5,3,339286,1017858
221,85,6,21,1,251461,251461
222,86,2,7,3,565098,1695294
223,86,6,21,1,251461,251461
224,86,1,3,3,339286,1017858
225,86,1,1,1,339286,339286
226,87,9,25,1,373029,373029
227,87,4,13,2,373029,746058
228,88,3,10,2,207660,415320
229,88,3,12,3,207660,622980
230,88,10,32,2,303091,606182
231,88,3,9,1,207660,207660
232,89,4,14,1,373029,373029
233,90,1,5,2,339286,678572
234,90,4,14,3,373029,1119087
235,90,3,12,1,207660,207660
236,90,10,27,3,303091,909273
237,91,9,25,3,373029,1119087
238,91,5,16,3,373029,1119087
239,91,8,23,2,373029,746058
240,92,6,20,1,251461,251461
241,92,6,19,3,251461,754383
242,93,10,32,3,303091,909273
243,93,9,26,3,373029,1119087
244,93,8,23,3,373029,1119087
245,93,10,31,2,303091,606182
246,94,4,15,1,373029,373029
247,95,10,27,2,303091,606182
248,95,6,21,1,251461,251461
249,95,10,28,1,303091,303091
250,96,10,30,2,303091,606182
251,96,2,8,2,565098,1130196
252,97,3,9,2,207660,415320
253,97,10,32,3,303091,909273
254,97,10,27,3,303091,909273
255,97,5,16,1,373029,373029
256,98,5,18,3,373029,1119087
257,98,4,14,2,373029,746058
258,98,1,4,3,339286,1017858
259,99,5,17,3,373029,1119087
260,99,6,21,2,251461,502922
261,99,9,26,2,373029,746058
262,100,9,26,2,373029,746058
263,100,1,4,2,339286,678572
264,100,10,32,3,303091,909273
265,100,4,15,2,373029,746058
266,101,6,20,2,251461,502922
267,102,4,15,3,373029,1119087
268,102,3,11,3,207660,622980
269,102,4,14,3,373029,1119087
270,102,2,8,3,565098,1695294
271,103,3,9,3,207660,622980
272,103,1,2,3,339286,1017858
273,103,1,2,2,339286,678572
274,104,7,22,2,46000,92000
275,105,1,4,3,339286,1017858
276,106,8,24,3,373029,1119087
277,106,4,13,1,373029,373029
278,107,4,15,2,373029,746058
279,107,3,11,2,207660,415320
280,107,7,22,2,46000,92000
281,107,4,14,3,373029,1119087
282,108,1,1,1,339286,339286
283,108,1,2,3,339286,1017858
284,109,9,26,2,373029,746058
285,110,3,11,2,207660,415320
286,111,1,2,1,339286,339286
287,111,5,16,1,373029,373029
288,111,5,18,3,373029,1119087
289,112,9,25,3,373029,1119087
290,113,3,9,3,207660,622980
291,113,5,18,1,373029,373029
292,113,1,5,1,339286,339286
293,113,10,27,1,303091,303091
294,114,3,10,1,207660,207660
295,115,4,13,3,373029,1119087
296,115,6,20,2,251461,502922
297,115,10,28,3,303091,909273
298,115,1,2,2,339286,678572
299,116,10,30,1,303091,303091
300,116,2,7,2,565098,1130196
301,116,10,31,2,303091,606182
302,117,10,28,1,303091,303091
303,117,4,15,2,373029,746058
304,117,5,18,2,373029,746058
305,118,5,16,2,373029,746058
306,118,1,2,2,339286,678572
307,118,9,26,2,373029,746058
308,119,10,29,1,303091,303091
309,120,9,26,1,373029,373029
310,121,8,24,2,373029,746058
311,121,2,7,3,565098,1695294
312,121,6,20,2,251461,502922
313,121,3,10,3,207660,622980
314,122,2,7,3,565098,1695294
315,123,4,14,2,373029,746058
316,123,5,16,1,373029,373029
317,124,9,26,3,373029,1119087
318,124,10,31,3,303091,909273
319,125,1,4,2,339286,678572
320,125,5,17,2,373029,746058
321,126,7,22,1,46000,46000
322,126,1,3,2,339286,678572
323,126,10,27,1,303091,303091
324,127,4,14,3,373029,1119087
325,127,10,32,3,303091,909273
326,127,10,32,2,303091,606182
327,128,6,21,2,251461,502922
328,128,10,31,3,303091,909273
329,129,2,7,2,565098,1130196
330,130,9,25,1,373029,373029
331,131,3,11,3,207660,622980
332,132,3,11,1,207660,207660
333,133,2,8,1,565098,565098
334,133,10,28,2,303091,606182
335,133,3,11,3,207660,622980
336,133,10,32,1,303091,303091
337,134,9,26,1,373029,373029
338,134,6,19,1,251461,251461
339,134,10,28,2,303091,606182
340,134,5,18,3,373029,1119087
341,135,8,24,3,373029,1119087
342,135,3,11,1,207660,207660
343,135,6,19,3,251461,754383
344,136,8,24,3,373029,1119087
345,136,5,17,2,373029,746058
346,137,4,14,2,373029,746058
347,137,3,9,1,207660,207660
348,137,10,31,1,303091,303091
349,137,6,21,2,251461,502922
350,138,3,10,2,207660,415320
351,138,1,5,1,339286,339286
352,139,4,13,1,373029,373029
353,139,2,7,3,565098,1695294
354,139,10,30,2,303091,606182
355,140,1,4,3,339286,1017858
356,141,3,11,1,207660,207660
357,141,8,23,3,373029,1119087
358,141,4,15,2,373029,746058
359,141,1,1,1,339286,339286
360,142,6,19,2,251461,502922
361,142,6,20,2,251461,502922
362,142,9,26,2,373029,746058
363,143,1,5,3,339286,1017858
364,143,3,10,1,207660,207660
365,144,5,18,1,373029,373029
366,144,5,17,3,373029,1119087
367,145,3,9,3,207660,622980
368,146,7,22,3,46000,138000
369,146,5,18,3,373029,1119087
370,146,10,31,1,303091,303091
371,146,3,11,1,207660,207660
372,147,4,14,1,373029,373029
373,147,3,10,1,207660,207660
374,148,10,31,1,303091,303091
375,148,6,21,1,251461,251461
376,149,3,9,3,207660,622980
377,150,10,28,3,303091,909273
378,150,10,31,2,303091,606182
379,150,6,20,3,251461,754383
380,150,2,8,1,565098,565098
381,151,9,25,2,373029,746058
382,151,10,31,2,303091,606182
383,151,6,20,3,251461,754383
384,151,6,21,3,251461,754383
385,152,4,14,1,373029,373029
386,153,3,10,2,207660,415320
387,153,10,29,2,303091,606182
388,153,5,17,3,373029,1119087
389,154,10,28,3,303091,909273
390,155,3,12,1,207660,207660
391,155,8,24,2,373029,746058
392,155,8,23,3,373029,1119087
393,156,4,14,3,373029,1119087
394,156,4,13,2,373029,746058
395,156,8,24,1,373029,373029
396,156,1,1,1,339286,339286
397,157,8,24,3,373029,1119087
398,157,4,13,1,373029,373029
399,157,6,20,2,251461,502922
400,157,2,7,2,565098,1130196
401,158,1,1,3,339286,1017858
402,158,5,18,1,373029,373029
403,158,5,18,3,373029,1119087
404,159,9,26,1,373029,373029
405,159,5,17,2,373029,746058
406,159,1,4,3,339286,1017858
407,159,1,2,3,339286,1017858
408,160,10,30,2,303091,606182
409,160,3,12,2,207660,415320
410,160,2,7,1,565098,565098
411,160,8,24,1,373029,373029
412,161,3,12,1,207660,207660
413,161,2,6,2,565098,1130196
414,162,1,4,2,339286,678572
415,163,6,21,1,251461,251461
416,164,4,13,3,373029,1119087
417,164,1,2,2,339286,678572
418,164,6,21,3,251461,754383
419,165,8,24,3,373029,1119087
420,165,1,1,3,339286,1017858
421,166,10,27,3,303091,909273
422,166,1,4,1,339286,339286
423,166,4,13,3,373029,1119087
424,166,3,10,3,207660,622980
425,167,2,6,1,565098,565098
426,167,10,29,1,303091,303091
427,167,5,18,3,373029,1119087
428,168,10,27,1,303091,303091
429,168,1,1,2,339286,678572
430,169,8,23,1,373029,373029
431,169,7,22,2,46000,92000
432,169,2,6,3,565098,1695294
433,170,2,6,1,565098,565098
434,170,2,6,1,565098,565098
435,170,2,6,1,565098,565098
436,170,6,21,3,251461,754383
437,171,3,11,1,207660,207660
438,172,8,24,2,373029,746058
439,172,2,6,3,565098,1695294
440,173,6,20,3,251461,754383
441,173,4,13,3,373029,1119087
442,174,6,20,1,251461,251461
443,174,9,25,3,373029,1119087
444,175,3,12,2,207660,415320
445,175,3,9,3,207660,622980
446,175,6,21,2,251461,502922
447,176,4,13,2,373029,746058
448,176,4,13,1,373029,373029
449,177,5,17,3,373029,1119087
450,177,10,29,2,303091,606182
451,177,2,6,2,565098,1130196
452,178,8,24,2,373029,746058
453,178,10,29,3,303091,909273
454,178,3,11,1,207660,207660
455,179,3,10,3,207660,622980
456,179,4,14,3,373029,1119087
457,179,10,28,2,303091,606182
458,179,6,19,1,251461,251461
459,180,5,18,1,373029,373029
460,180,4,14,2,373029,746058
461,180,4,14,2,373029,746058
462,181,1,3,1,339286,339286
463,181,3,12,2,207660,415320
464,181,3,9,2,207660,415320
465,182,8,24,3,373029,1119087
466,182,9,25,3,373029,1119087
467,182,1,3,2,339286,678572
468,183,8,23,1,373029,373029
469,184,10,27,2,303091,606182
470,184,7,22,2,46000,92000
471,185,3,12,2,207660,415320
472,186,3,11,2,207660,415320
473,186,3,12,1,207660,207660
474,186,10,29,3,303091,909273
475,187,10,28,3,303091,909273
476,187,9,26,2,373029,746058
477,187,5,16,2,373029,746058
478,187,8,24,3,373029,1119087
479,188,10,31,3,303091,909273
480,188,9,26,2,373029,746058
481,188,1,3,1,339286,339286
482,189,10,27,2,303091,606182
483,190,9,26,3,373029,1119087
484,190,1,2,1,339286,339286
485,190,3,11,2,207660,415320
486,191,3,9,1,207660,207660
487,191,7,22,1,46000,46000
488,192,6,20,1,251461,251461
489,193,10,30,2,303091,606182
490,193,3,11,2,207660,415320
491,193,1,1,3,339286,1017858
492,194,4,13,1,373029,373029
493,194,6,20,2,251461,502922
494,195,3,12,1,207660,207660
495,196,10,28,1,303091,303091
496,196,5,16,1,373029,373029
497,197,1,1,2,339286,678572
498,197,3,11,2,207660,415320
499,197,2,7,2,565098,1130196
500,198,4,14,2,373029,746058
501,198,9,25,2,373029,746058
502,198,5,16,1,373029,373029
503,198,9,25,1,373029,373029
504,199,3,9,2,207660,415320
505,199,6,21,2,251461,502922
506,199,10,28,3,303091,909273
507,200,1,5,2,339286,678572
508,200,10,32,3,303091,909273
509,200,1,2,1,339286,339286
510,200,3,12,1,207660,207660
511,201,8,24,2,373029,746058
512,201,1,1,3,339286,1017858
513,201,9,26,1,373029,373029
514,202,3,9,2,207660,415320
515,202,4,13,1,373029,373029
516,203,6,20,2,251461,502922
517,203,2,6,2,565098,1130196
518,204,3,12,2,207660,415320
519,204,3,10,2,207660,415320
520,204,6,20,2,251461,502922
521,204,10,31,1,303091,303091
522,205,10,27,1,303091,303091
523,205,3,11,2,207660,415320
524,205,2,7,2,565098,1130196
525,206,8,23,3,373029,1119087
526,207,9,26,1,373029,373029
527,208,6,21,1,251461,251461
528,208,9,25,3,373029,1119087
529,209,1,1,2,339286,678572
530,209,9,26,2,373029,746058
531,209,1,4,2,339286,678572
532,209,10,28,2,303091,606182
533,210,10,29,3,303091,909273
534,211,10,31,3,303091,909273
535,211,7,22,3,46000,138000
536,211,8,24,1,373029,373029
537,212,10,28,3,303091,909273
538,212,9,25,3,373029,1119087
539,213,3,10,1,207660,207660
540,214,5,17,1,373029,373029
541,214,10,30,2,303091,606182
542,214,1,4,2,339286,678572
543,215,1,3,1,339286,339286
544,215,10,32,2,303091,606182
545,215,8,24,1,373029,373029
546,216,5,17,2,373029,746058
547,216,7,22,3,46000,138000
548,216,6,19,1,251461,251461
549,217,3,12,2,207660,415320
550,217,8,23,2,373029,746058
551,217,1,2,2,339286,678572
552,218,6,20,3,251461,754383
553,218,1,3,3,339286,1017858
554,218,2,8,2,565098,1130196
555,219,9,26,1,373029,373029
556,220,2,6,3,565098,1695294
557,220,2,7,1,565098,565098
558,221,10,32,2,303091,606182
559,221,5,18,2,373029,746058
560,222,5,16,3,373029,1119087
561,222,10,30,1,303091,303091
562,222,1,5,2,339286,678572
563,222,8,24,1,373029,373029
564,223,2,7,2,565098,1130196
565,223,2,6,2,565098,1130196
566,224,10,28,2,303091,606182
567,224,1,2,1,339286,339286
568,224,5,17,3,373029,1119087
569,225,10,28,1,303091,303091
570,226,5,17,2,373029,746058
571,226,5,16,3,373029,1119087
572,227,8,24,3,373029,1119087
573,228,4,14,2,373029,746058
574,228,5,18,3,373029,1119087
575,228,3,12,2,207660,415320
576,228,1,3,3,339286,1017858
577,229,3,12,3,207660,622980
578,229,6,19,2,251461,502922
579,229,1,1,2,339286,678572
580,229,4,14,1,373029,373029
581,230,3,9,2,207660,415320
582,230,5,18,2,373029,746058
583,230,6,21,1,251461,251461
584,230,4,15,1,373029,373029
585,231,6,21,1,251461,251461
586,232,6,19,3,251461,754383
587,233,10,27,3,303091,909273
588,233,7,22,3,46000,138000
589,233,9,25,2,373029,746058
590,233,1,1,2,339286,678572
591,234,6,21,2,251461,502922
592,234,10,29,1,303091,303091
593,234,10,30,3,303091,909273
594,235,4,14,3,373029,1119087
595,235,3,11,3,207660,622980
596,235,9,25,2,373029,746058
597,235,9,26,1,373029,373029
598,236,10,32,3,303091,909273
599,237,2,6,1,565098,565098
600,237,8,24,2,373029,746058
601,237,6,19,2,251461,502922
602,238,10,30,1,303091,303091
603,238,3,10,3,207660,622980
604,238,3,11,3,207660,622980
605,238,8,23,3,373029,1119087
606,239,10,27,1,303091,303091
607,239,6,19,3,251461,754383
608,239,10,32,1,303091,303091
609,239,9,25,3,373029,1119087
610,240,9,25,3,373029,1119087
611,240,2,8,1,565098,565098
612,241,4,14,1,373029,373029
613,241,2,8,3,565098,1695294
614,241,6,19,1,251461,251461
615,241,3,11,3,207660,622980
616,242,10,27,2,303091,606182
617,242,4,14,2,373029,746058
618,242,5,18,2,373029,746058
619,242,8,24,3,373029,1119087
620,243,6,21,3,251461,754383
621,244,4,15,2,373029,746058
622,244,10,32,2,303091,606182
623,244,6,19,2,251461,502922
624,244,3,11,1,207660,207660
625,245,6,19,1,251461,251461
626,245,7,22,2,46000,92000
627,245,3,12,3,207660,622980
628,245,2,7,2,565098,1130196
629,246,10,27,2,303091,606182
630,246,4,13,3,373029,1119087
631,246,1,2,3,339286,1017858
632,246,4,15,1,373029,373029
633,247,10,27,1,303091,303091
634,248,5,16,1,373029,373029
635,248,10,31,3,303091,909273
636,248,2,6,2,565098,1130196
637,249,9,25,3,373029,1119087
638,250,3,11,2,207660,415320
639,250,8,24,3,373029,1119087
640,251,3,12,2,207660,415320
641,251,4,13,2,373029,746058
642,252,6,19,1,251461,251461
643,252,1,2,1,339286,339286
644,253,10,30,1,303091,303091
645,253,10,29,1,303091,303091
646,253,3,12,2,207660,415320
647,253,2,8,3,565098,1695294
648,254,3,11,1,207660,207660
649,254,10,30,3,303091,909273
650,254,1,5,1,339286,339286
651,255,10,27,3,303091,909273
652,256,9,25,1,373029,373029
653,256,10,27,2,303091,606182
654,256,2,8,3,565098,1695294
655,256,1,2,2,339286,678572
656,257,1,4,2,339286,678572
657,257,9,26,3,373029,1119087
658,257,1,3,2,339286,678572
659,257,9,26,3,373029,1119087
660,258,10,28,1,303091,303091
661,258,2,7,1,565098,565098
662,258,5,17,3,373029,1119087
663,258,2,8,3,565098,1695294
664,259,8,24,2,373029,746058
665,259,7,22,1,46000,46000
666,260,10,31,1,303091,303091
667,260,5,17,1,373029,373029
668,261,1,5,2,339286,678572
669,261,10,32,1,303091,303091
670,261,5,17,2,373029,746058
671,262,10,29,2,303091,606182
672,262,10,29,3,303091,909273
673,262,5,17,3,373029,1119087
674,263,1,3,1,339286,339286
675,263,3,10,3,207660,622980
676,263,6,19,1,251461,251461
677,264,8,24,3,373029,1119087
678,264,8,24,3,373029,1119087
679,265,6,20,3,251461,754383
680,265,3,11,3,207660,622980
681,265,6,20,2,251461,502922
682,266,6,19,1,251461,251461
683,266,3,9,1,207660,207660
684,266,6,19,2,251461,502922
685,266,5,17,3,373029,1119087
686,267,1,2,1,339286,339286
687,267,6,20,1,251461,251461
688,268,5,17,2,373029,746058
689,269,10,31,3,303091,909273
690,269,3,11,2,207660,415320
691,269,3,10,3,207660,622980
692,269,6,21,3,251461,754383
693,270,9,25,2,373029,746058
694,270,3,11,3,207660,622980
695,270,10,31,1,303091,303091
696,271,9,25,1,373029,373029
697,271,1,5,2,339286,678572
698,271,4,15,2,373029,746058
699,271,4,14,1,373029,373029
700,272,5,18,3,373029,1119087
701,272,2,8,3,565098,1695294
702,273,8,23,2,373029,746058
703,273,10,30,3,303091,909273
704,274,4,15,3,373029,1119087
705,275,8,24,3,373029,1119087
706,275,1,3,2,339286,678572
707,276,7,22,3,46000,138000
708,277,5,18,3,373029,1119087
709,278,1,4,2,339286,678572
710,279,5,16,2,373029,746058
711,279,3,12,3,207660,622980
712,280,4,15,3,373029,1119087
713,280,10,30,1,303091,303091
714,281,5,18,3,373029,1119087
715,282,2,6,3,565098,1695294
716,282,4,13,3,373029,1119087
717,282,1,5,1,339286,339286
718,283,1,4,1,339286,339286
719,283,4,15,1,373029,373029
720,283,10,31,2,303091,606182
721,284,1,4,2,339286,678572
722,285,4,13,2,373029,746058
723,286,10,29,1,303091,303091
724,287,4,13,1,373029,373029
725,287,4,14,3,373029,1119087
726,287,10,32,2,303091,606182
727,287,1,1,3,339286,1017858
728,288,2,8,3,565098,1695294
729,288,10,29,3,303091,909273
730,288,4,13,3,373029,1119087
731,288,10,30,1,303091,303091
732,289,10,27,3,303091,909273
733,289,5,18,2,373029,746058
734,289,3,12,2,207660,415320
735,290,6,19,3,251461,754383
736,290,6,20,2,251461,502922
737,290,5,16,2,373029,746058
738,290,5,18,3,373029,1119087
739,291,10,29,1,303091,303091
740,291,3,12,2,207660,415320
741,291,1,1,2,339286,678572
742,292,10,32,1,303091,303091
743,292,3,12,1,207660,207660
744,292,10,28,3,303091,909273
745,292,6,20,1,251461,251461
746,293,7,22,3,46000,138000
747,293,3,12,1,207660,207660
748,293,2,7,1,565098,565098
749,293,4,14,2,373029,746058
750,294,6,21,3,251461,754383
751,294,10,31,1,303091,303091
752,294,6,20,3,251461,754383
753,295,3,10,2,207660,415320
754,295,3,11,1,207660,207660
755,296,3,11,1,207660,207660
756,296,3,11,2,207660,415320
757,296,10,31,3,303091,909273
758,296,10,27,3,303091,909273
759,297,4,15,2,373029,746058
760,297,10,31,2,303091,606182
761,297,8,24,1,373029,373029
762,298,7,22,3,46000,138000
763,298,8,23,3,373029,1119087
764,298,6,21,2,251461,502922
765,299,10,28,3,303091,909273
766,299,9,26,2,373029,746058
767,299,1,1,2,339286,678572
768,300,10,27,2,303091,606182
769,301,10,30,2,303091,606182
770,301,1,2,3,339286,1017858
771,302,4,14,3,373029,1119087
772,302,5,17,2,373029,746058
773,303,1,2,2,339286,678572
774,303,10,28,2,303091,606182
775,303,6,21,3,251461,754383
776,304,4,14,3,373029,1119087
777,304,10,29,2,303091,606182
778,305,1,5,1,339286,339286
779,306,6,21,3,251461,754383
780,306,10,31,3,303091,909273
781,307,1,3,3,339286,1017858
782,307,9,25,3,373029,1119087
783,307,10,32,1,303091,303091
784,307,5,18,3,373029,1119087
785,308,1,4,1,339286,339286
786,308,1,4,3,339286,1017858
787,308,7,22,2,46000,92000
788,308,8,24,2,373029,746058
789,309,2,8,2,565098,1130196
790,309,3,9,3,207660,622980
791,309,1,5,2,339286,678572
792,310,3,10,1,207660,207660
793,310,6,20,3,251461,754383
794,310,4,13,3,373029,1119087
795,310,2,6,2,565098,1130196
796,311,6,21,3,251461,754383
797,311,5,17,3,373029,1119087
798,312,1,2,1,339286,339286
799,312,1,5,3,339286,1017858
800,312,6,21,2,251461,502922
801,313,4,14,1,373029,373029
802,313,6,21,2,251461,502922
803,313,4,15,2,373029,746058
804,313,8,24,2,373029,746058
805,314,5,17,2,373029,746058
806,314,1,2,1,339286,339286
807,315,10,27,2,303091,606182
808,316,10,32,1,303091,303091
809,316,1,4,3,339286,1017858
810,316,8,24,1,373029,373029
811,316,10,28,1,303091,303091
812,317,10,32,2,303091,606182
813,317,7,22,3,46000,138000
814,317,1,5,3,339286,1017858
815,318,2,6,3,565098,1695294
816,319,3,11,3,207660,622980
817,320,10,30,3,303091,909273
818,321,1,5,3,339286,1017858
819,321,10,28,2,303091,606182
820,322,10,29,3,303091,909273
821,322,3,10,3,207660,622980
822,322,7,22,1,46000,46000
823,322,3,12,3,207660,622980
824,323,10,30,3,303091,909273
825,323,10,28,1,303091,303091
826,323,9,26,3,373029,1119087
827,324,1,1,3,339286,1017858
828,324,9,25,1,373029,373029
829,324,1,1,1,339286,339286
830,325,10,28,1,303091,303091
831,325,5,17,1,373029,373029
832,325,6,21,3,251461,754383
833,326,4,13,3,373029,1119087
834,326,8,23,3,373029,1119087
835,326,3,10,1,207660,207660
836,326,3,10,1,207660,207660
837,327,3,12,1,207660,207660
838,327,1,2,3,339286,1017858
839,327,1,3,1,339286,339286
840,328,1,5,2,339286,678572
841,328,6,21,1,251461,251461
842,328,4,14,1,373029,373029
843,329,3,11,2,207660,415320
844,329,5,18,1,373029,373029
845,329,4,14,2,373029,746058
846,330,3,9,2,207660,415320
847,331,9,25,1,373029,373029
848,332,4,14,2,373029,746058
849,332,1,4,2,339286,678572
850,332,10,29,2,303091,606182
851,332,4,13,1,373029,373029
852,333,2,8,1,565098,565098
853,333,3,12,3,207660,622980
854,333,2,8,1,565098,565098
855,333,4,14,1,373029,373029
856,334,8,23,3,373029,1119087
857,334,6,21,2,251461,502922
858,334,4,13,1,373029,373029
859,334,2,6,3,565098,1695294
