id,customer_id,order_date,due_date,ship_date,status,total_amount,shipping_fee,discount_amount,final_amount,payment_method,payment_status
25,139,2025-07-11,2025-07-18,9999-12-31,confirmed,1337856,43000,73000,1307856,cod,paid
26,931,2025-06-04,2025-06-13,9999-12-31,confirmed,1212364,47000,31000,1228364,cod,paid
27,503,2024-09-17,2024-09-23,2024-09-18,shipping,303091,15000,93000,225091,cod,paid
28,147,2024-11-20,2024-11-30,2024-11-21,delivered,2430243,41000,42000,2429243,cod,paid
29,983,2025-01-14,2025-01-20,2025-01-17,shipping,2170688,50000,42000,2178688,cod,paid
30,486,2024-10-23,2024-11-02,2024-10-24,shipping,373029,50000,37000,386029,cod,paid
31,177,2024-09-09,2024-09-18,9999-12-31,confirmed,2801572,19000,46000,2774572,cod,refunded
32,153,2025-09-13,2025-09-19,9999-12-31,confirmed,1482887,37000,46000,1473887,cod,refunded
33,388,2025-03-14,2025-03-20,2025-03-15,delivered,2064555,29000,40000,2053555,cod,paid
34,339,2024-07-23,2024-08-02,2024-07-24,delivered,1725269,18000,29000,1714269,cod,paid
35,279,2025-01-09,2025-01-14,2025-01-11,shipping,1326747,43000,37000,1332747,cod,paid
36,520,2025-06-09,2025-06-14,2025-06-10,delivered,1441049,11000,89000,1363049,cod,refunded
37,589,2025-08-15,2025-08-25,9999-12-31,confirmed,2204431,42000,20000,2226431,cod,failed
38,871,2025-06-29,2025-07-05,9999-12-31,confirmed,1221333,19000,45000,1195333,cod,paid
39,165,2024-09-26,2024-10-05,2024-09-27,shipping,3012475,32000,87000,2957475,cod,paid
40,226,2024-09-09,2024-09-18,2024-09-10,delivered,1130196,19000,13000,1136196,cod,failed
41,842,2025-04-28,2025-05-06,2025-05-01,delivered,1839950,45000,14000,1870950,cod,refunded
42,547,2025-08-08,2025-08-17,9999-12-31,confirmed,2449900,24000,62000,2411900,cod,paid
43,753,2025-01-05,2025-01-10,9999-12-31,confirmed,622980,32000,53000,601980,cod,paid
44,615,2025-05-01,2025-05-08,9999-12-31,confirmed,2388406,29000,28000,2389406,cod,failed
45,193,2025-10-06,2025-10-16,2025-10-07,shipping,2329014,41000,28000,2342014,cod,paid
46,497,2024-09-22,2024-09-28,9999-12-31,confirmed,3899725,26000,78000,3847725,cod,paid
47,842,2025-06-10,2025-06-17,2025-06-13,shipping,2586083,38000,91000,2533083,cod,paid
48,201,2025-09-17,2025-09-23,2025-09-19,shipping,1592441,15000,39000,1568441,cod,refunded
49,149,2025-10-05,2025-10-10,9999-12-31,confirmed,415320,34000,52000,397320,cod,paid
50,388,2025-09-14,2025-09-22,9999-12-31,confirmed,251461,34000,98000,187461,cod,failed
51,889,2025-02-13,2025-02-20,2025-02-14,delivered,1695294,32000,71000,1656294,cod,paid
52,931,2025-03-03,2025-03-08,2025-03-06,shipping,1127412,15000,93000,1049412,cod,paid
53,670,2024-10-26,2024-11-01,9999-12-31,confirmed,3117363,35000,31000,3121363,cod,failed
54,313,2025-08-13,2025-08-20,2025-08-14,shipping,4228607,23000,52000,4199607,cod,failed
55,239,2024-08-27,2024-09-01,2024-08-28,delivered,1416548,26000,20000,1422548,cod,pending
56,132,2025-02-11,2025-02-17,2025-02-12,delivered,3195735,11000,94000,3112735,cod,paid
57,554,2024-09-06,2024-09-11,9999-12-31,confirmed,1515455,39000,39000,1515455,cod,refunded
58,893,2024-09-28,2024-10-04,2024-09-29,delivered,1119087,35000,78000,1076087,cod,paid
59,493,2025-04-11,2025-04-21,2025-04-13,delivered,1119087,36000,39000,1116087,cod,pending
60,418,2024-07-09,2024-07-18,2024-07-11,delivered,2418187,28000,79000,2367187,cod,refunded
61,321,2025-08-15,2025-08-21,2025-08-18,delivered,838058,49000,75000,812058,cod,refunded
62,780,2025-11-01,2025-11-09,2025-11-02,delivered,1130196,46000,31000,1145196,cod,paid
63,959,2024-12-17,2024-12-26,2024-12-18,delivered,2208373,15000,12000,2211373,cod,paid
64,836,2025-03-27,2025-04-03,2025-03-28,delivered,2249283,43000,34000,2258283,cod,paid
65,633,2025-04-18,2025-04-24,9999-12-31,confirmed,2469188,38000,57000,2450188,cod,paid
66,677,2025-07-04,2025-07-12,2025-07-07,delivered,1119087,35000,34000,1120087,cod,refunded
67,857,2024-09-03,2024-09-08,2024-09-04,delivered,3157842,25000,11000,3171842,cod,refunded
68,402,2024-12-13,2024-12-19,9999-12-31,confirmed,1017858,25000,86000,956858,cod,paid
69,390,2025-10-11,2025-10-20,9999-12-31,confirmed,2121637,16000,94000,2043637,cod,paid
70,395,2024-12-06,2024-12-16,2024-12-07,delivered,2828916,31000,21000,2838916,cod,refunded
71,151,2024-11-28,2024-12-08,2024-11-30,delivered,1732084,36000,52000,1716084,cod,paid
72,443,2024-10-07,2024-10-16,2024-10-09,shipping,1114020,48000,70000,1092020,cod,paid
73,4,2025-04-26,2025-05-01,9999-12-31,confirmed,2474498,10000,10000,2474498,cod,paid
74,517,2024-10-10,2024-10-16,9999-12-31,confirmed,2028360,12000,11000,2029360,cod,refunded
75,711,2025-07-31,2025-08-09,2025-08-03,shipping,2511853,22000,82000,2451853,cod,pending
76,531,2024-11-14,2024-11-23,2024-11-15,shipping,1482133,11000,56000,1437133,cod,paid
77,9,2025-03-28,2025-04-07,2025-03-29,delivered,1119087,16000,30000,1105087,cod,paid
78,432,2024-12-07,2024-12-17,9999-12-31,confirmed,1534407,42000,28000,1548407,cod,paid
79,637,2024-09-02,2024-09-10,9999-12-31,pending,373029,15000,12000,376029,cod,paid
80,212,2025-10-08,2025-10-16,9999-12-31,confirmed,3243176,45000,89000,3199176,cod,paid
81,100,2025-06-30,2025-07-09,9999-12-31,confirmed,2301476,18000,91000,2228476,cod,pending
82,614,2025-01-02,2025-01-07,9999-12-31,pending,606182,36000,16000,626182,cod,refunded
83,656,2025-03-08,2025-03-17,2025-03-10,shipping,3613839,11000,46000,3578839,cod,refunded
84,469,2024-09-18,2024-09-28,9999-12-31,pending,1301552,38000,96000,1243552,cod,refunded
85,52,2025-08-31,2025-09-10,2025-09-02,shipping,2015377,25000,23000,2017377,cod,refunded
86,143,2025-05-05,2025-05-12,2025-05-06,shipping,3303899,48000,100000,3251899,cod,paid
87,265,2024-09-07,2024-09-13,2024-09-10,shipping,1119087,25000,31000,1113087,cod,paid
88,388,2025-09-29,2025-10-07,2025-09-30,delivered,1852142,32000,11000,1873142,cod,paid
89,382,2025-08-20,2025-08-26,9999-12-31,confirmed,373029,18000,68000,323029,cod,refunded
90,508,2024-07-21,2024-07-30,2024-07-23,delivered,2914592,26000,75000,2865592,cod,paid
91,10,2025-10-22,2025-11-01,9999-12-31,cancelled,2984232,47000,37000,2994232,cod,refunded
92,803,2025-08-13,2025-08-18,2025-08-15,shipping,1005844,42000,70000,977844,cod,refunded
93,167,2025-08-27,2025-09-06,2025-08-30,shipping,3753629,11000,72000,3692629,cod,paid
94,413,2024-09-16,2024-09-26,2024-09-18,shipping,373029,44000,43000,374029,cod,paid
95,807,2024-10-15,2024-10-24,9999-12-31,confirmed,1160734,12000,23000,1149734,cod,refunded
96,844,2025-03-20,2025-03-29,2025-03-21,delivered,1736378,10000,28000,1718378,cod,paid
97,875,2025-02-12,2025-02-21,2025-02-13,shipping,2606895,23000,39000,2590895,cod,paid
98,146,2025-09-19,2025-09-26,2025-09-20,shipping,2883003,23000,45000,2861003,cod,refunded
99,310,2025-06-02,2025-06-08,9999-12-31,confirmed,2368067,28000,26000,2370067,cod,paid
100,145,2024-08-08,2024-08-13,9999-12-31,confirmed,3079961,50000,45000,3084961,cod,refunded
101,13,2024-10-07,2024-10-12,2024-10-09,shipping,502922,31000,66000,467922,cod,paid
102,128,2025-07-08,2025-07-16,9999-12-31,confirmed,4556448,50000,29000,4577448,cod,paid
103,319,2025-03-06,2025-03-13,9999-12-31,confirmed,2319410,21000,25000,2315410,cod,pending
104,581,2024-10-29,2024-11-07,2024-11-01,shipping,92000,46000,35000,103000,cod,paid
105,443,2024-07-14,2024-07-20,2024-07-16,delivered,1017858,48000,62000,1003858,cod,paid
106,749,2025-10-28,2025-11-06,9999-12-31,pending,1492116,19000,60000,1451116,cod,paid
107,642,2025-04-11,2025-04-19,9999-12-31,confirmed,2372465,45000,54000,2363465,cod,paid
108,504,2024-08-22,2024-08-30,2024-08-24,delivered,1357144,37000,24000,1370144,cod,paid
109,600,2025-08-15,2025-08-25,2025-08-18,shipping,746058,45000,51000,740058,cod,failed
110,377,2025-02-19,2025-02-27,2025-02-21,shipping,415320,46000,30000,431320,cod,refunded
111,485,2025-05-03,2025-05-13,2025-05-04,delivered,1831402,21000,80000,1772402,cod,refunded
112,558,2025-09-04,2025-09-12,2025-09-06,delivered,1119087,49000,45000,1123087,cod,refunded
113,302,2024-10-02,2024-10-09,2024-10-04,delivered,1638386,39000,58000,1619386,cod,paid
114,503,2025-08-20,2025-08-28,2025-08-21,delivered,207660,12000,16000,203660,cod,paid
115,241,2025-06-05,2025-06-13,2025-06-07,shipping,3209854,20000,96000,3133854,cod,paid
116,376,2025-03-06,2025-03-12,2025-03-07,delivered,2039469,12000,46000,2005469,cod,paid
117,346,2024-10-25,2024-11-01,9999-12-31,confirmed,1795207,41000,91000,1745207,cod,pending
118,198,2025-08-19,2025-08-27,9999-12-31,confirmed,2170688,41000,68000,2143688,cod,paid
119,275,2025-09-28,2025-10-03,2025-09-29,delivered,303091,19000,16000,306091,cod,paid
120,19,2024-10-06,2024-10-12,9999-12-31,pending,373029,41000,69000,345029,cod,paid
121,185,2025-07-05,2025-07-10,2025-07-06,delivered,3567254,15000,56000,3526254,cod,refunded
122,347,2024-11-04,2024-11-13,2024-11-05,shipping,1695294,46000,88000,1653294,cod,paid
123,394,2024-07-06,2024-07-14,2024-07-08,delivered,1119087,17000,81000,1055087,cod,paid
124,56,2024-10-11,2024-10-16,2024-10-13,delivered,2028360,28000,45000,2011360,cod,failed
125,444,2025-02-07,2025-02-15,2025-02-10,shipping,1424630,34000,44000,1414630,cod,failed
126,794,2024-09-10,2024-09-20,2024-09-13,delivered,1027663,12000,95000,944663,cod,refunded
127,411,2025-06-30,2025-07-08,2025-07-02,shipping,2634542,32000,20000,2646542,cod,paid
128,804,2024-12-11,2024-12-18,2024-12-12,delivered,1412195,40000,14000,1438195,cod,paid
129,461,2025-05-29,2025-06-03,2025-05-30,delivered,1130196,33000,28000,1135196,cod,paid
130,350,2025-02-10,2025-02-19,2025-02-11,shipping,373029,11000,10000,374029,cod,paid
131,349,2024-11-16,2024-11-23,9999-12-31,confirmed,622980,50000,86000,586980,cod,paid
132,120,2025-05-17,2025-05-25,2025-05-20,shipping,207660,23000,75000,155660,cod,refunded
133,48,2024-10-04,2024-10-10,2024-10-06,delivered,2097351,22000,93000,2026351,cod,paid
134,654,2025-01-18,2025-01-24,9999-12-31,pending,2349759,41000,62000,2328759,cod,pending
135,922,2025-08-16,2025-08-21,2025-08-17,delivered,2081130,38000,41000,2078130,cod,paid
136,624,2025-01-19,2025-01-27,2025-01-20,delivered,1865145,25000,21000,1869145,cod,paid
137,394,2025-05-26,2025-06-03,2025-05-28,shipping,1759731,48000,11000,1796731,cod,paid
138,243,2025-05-26,2025-06-03,9999-12-31,pending,754606,31000,52000,733606,cod,paid
139,275,2025-07-14,2025-07-19,2025-07-16,delivered,2674505,46000,34000,2686505,cod,refunded
140,45,2025-05-10,2025-05-20,2025-05-13,delivered,1017858,34000,20000,1031858,cod,paid
141,178,2024-10-04,2024-10-13,2024-10-07,shipping,2412091,45000,29000,2428091,cod,paid
142,110,2024-09-10,2024-09-17,2024-09-12,shipping,1751902,38000,48000,1741902,cod,refunded
143,628,2025-05-14,2025-05-21,2025-05-17,delivered,1225518,12000,76000,1161518,cod,paid
144,597,2024-07-20,2024-07-28,2024-07-21,shipping,1492116,36000,39000,1489116,cod,paid
145,127,2025-05-27,2025-06-01,2025-05-29,delivered,622980,15000,63000,574980,cod,paid
146,816,2024-11-03,2024-11-09,9999-12-31,confirmed,1767838,22000,47000,1742838,cod,paid
147,778,2024-09-27,2024-10-06,9999-12-31,pending,580689,24000,34000,570689,cod,paid
148,310,2025-01-14,2025-01-21,9999-12-31,confirmed,554552,33000,75000,512552,cod,pending
149,420,2025-04-26,2025-05-03,2025-04-27,shipping,622980,31000,30000,623980,cod,paid
150,309,2025-04-09,2025-04-14,2025-04-12,shipping,2834936,16000,56000,2794936,cod,paid
151,450,2025-05-30,2025-06-04,2025-06-02,delivered,2861006,47000,42000,2866006,cod,paid
152,752,2025-05-31,2025-06-10,2025-06-03,delivered,373029,11000,64000,320029,cod,pending
153,160,2025-04-04,2025-04-09,9999-12-31,confirmed,2140589,38000,17000,2161589,cod,paid
154,599,2025-06-22,2025-07-01,2025-06-23,shipping,909273,19000,43000,885273,cod,refunded
155,500,2025-09-30,2025-10-10,2025-10-02,shipping,2072805,40000,16000,2096805,cod,refunded
156,675,2024-12-26,2025-01-04,2024-12-28,shipping,2577460,12000,12000,2577460,cod,failed
157,941,2024-07-10,2024-07-16,2024-07-13,delivered,3125234,46000,67000,3104234,cod,paid
158,707,2025-07-31,2025-08-10,2025-08-03,shipping,2509974,38000,10000,2537974,cod,paid
159,146,2025-04-12,2025-04-20,2025-04-13,delivered,3154803,35000,53000,3136803,cod,paid
160,145,2024-12-06,2024-12-14,2024-12-08,shipping,1959629,36000,84000,1911629,cod,paid
161,31,2025-09-07,2025-09-14,9999-12-31,confirmed,1337856,18000,74000,1281856,cod,failed
162,944,2024-09-28,2024-10-06,2024-09-30,delivered,678572,21000,29000,670572,cod,refunded
163,908,2025-06-05,2025-06-12,2025-06-07,shipping,251461,47000,72000,226461,cod,paid
164,795,2024-09-01,2024-09-07,2024-09-04,shipping,2552042,14000,87000,2479042,cod,paid
165,703,2025-04-03,2025-04-08,2025-04-05,delivered,2136945,34000,39000,2131945,cod,refunded
166,807,2025-04-08,2025-04-13,2025-04-11,delivered,2990626,50000,93000,2947626,cod,paid
167,138,2025-02-16,2025-02-22,2025-02-18,delivered,1987276,16000,44000,1959276,cod,paid
168,516,2024-08-25,2024-08-31,2024-08-27,delivered,981663,43000,74000,950663,cod,refunded
169,949,2024-11-27,2024-12-02,2024-11-28,delivered,2160323,35000,91000,2104323,cod,paid
170,705,2024-09-25,2024-10-03,2024-09-28,delivered,2449677,23000,21000,2451677,cod,failed
171,737,2024-12-02,2024-12-11,9999-12-31,confirmed,207660,11000,69000,149660,cod,paid
172,558,2025-03-19,2025-03-25,2025-03-20,delivered,2441352,16000,85000,2372352,cod,paid
173,975,2025-11-01,2025-11-08,9999-12-31,confirmed,1873470,20000,88000,1805470,cod,paid
174,319,2024-08-03,2024-08-10,2024-08-04,delivered,1370548,15000,20000,1365548,cod,paid
175,750,2025-03-05,2025-03-14,2025-03-08,delivered,1541222,10000,42000,1509222,cod,refunded
176,81,2025-05-17,2025-05-27,2025-05-20,delivered,1119087,42000,94000,1067087,cod,refunded
177,846,2025-08-09,2025-08-19,2025-08-10,delivered,2855465,34000,94000,2795465,cod,pending
178,527,2024-10-26,2024-11-04,2024-10-28,shipping,1862991,25000,100000,1787991,cod,paid
179,578,2024-11-19,2024-11-26,2024-11-20,delivered,2599710,18000,86000,2531710,cod,paid
180,4,2024-10-16,2024-10-25,2024-10-19,shipping,1865145,42000,44000,1863145,cod,paid
181,854,2025-02-10,2025-02-17,2025-02-11,delivered,1169926,26000,77000,1118926,cod,paid
182,854,2024-11-21,2024-11-27,2024-11-22,shipping,2916746,10000,84000,2842746,cod,paid
183,613,2025-07-21,2025-07-26,2025-07-23,shipping,373029,13000,63000,323029,cod,paid
184,58,2025-07-17,2025-07-27,2025-07-18,shipping,698182,46000,28000,716182,cod,refunded
185,554,2024-08-10,2024-08-15,2024-08-13,shipping,415320,11000,21000,405320,cod,failed
186,108,2025-08-12,2025-08-17,2025-08-14,delivered,1532253,25000,31000,1526253,cod,refunded
187,33,2025-08-22,2025-08-31,2025-08-24,shipping,3520476,50000,92000,3478476,cod,paid
188,19,2025-02-18,2025-02-26,9999-12-31,confirmed,1994617,42000,81000,1955617,cod,paid
189,371,2025-02-06,2025-02-14,2025-02-08,delivered,606182,13000,94000,525182,cod,paid
190,446,2025-09-26,2025-10-03,9999-12-31,confirmed,1873693,11000,16000,1868693,cod,failed
191,469,2025-06-15,2025-06-23,9999-12-31,confirmed,253660,14000,68000,199660,cod,paid
192,266,2025-02-13,2025-02-20,9999-12-31,confirmed,251461,49000,82000,218461,cod,refunded
193,97,2025-09-23,2025-09-29,2025-09-26,delivered,2039360,50000,90000,1999360,cod,paid
194,796,2025-09-02,2025-09-07,2025-09-05,shipping,875951,43000,24000,894951,cod,refunded
195,581,2025-07-01,2025-07-07,2025-07-02,delivered,207660,42000,57000,192660,cod,paid
196,282,2025-10-19,2025-10-25,9999-12-31,confirmed,676120,11000,47000,640120,cod,paid
197,890,2025-05-07,2025-05-13,9999-12-31,confirmed,2224088,47000,44000,2227088,cod,paid
198,795,2025-04-09,2025-04-18,2025-04-12,shipping,2238174,16000,62000,2192174,cod,refunded
199,21,2024-09-02,2024-09-07,2024-09-04,shipping,1827515,12000,16000,1823515,cod,pending
200,937,2025-09-07,2025-09-16,9999-12-31,confirmed,2134791,40000,39000,2135791,cod,paid
201,976,2025-06-23,2025-07-01,2025-06-25,shipping,2136945,40000,24000,2152945,cod,paid
202,669,2024-12-17,2024-12-25,9999-12-31,confirmed,788349,12000,34000,766349,cod,paid
203,509,2024-10-26,2024-11-04,2024-10-28,shipping,1633118,14000,69000,1578118,cod,paid
204,817,2025-06-13,2025-06-23,2025-06-16,delivered,1636653,24000,93000,1567653,cod,paid
205,353,2025-03-06,2025-03-12,2025-03-09,shipping,1848607,11000,60000,1799607,cod,refunded
206,77,2025-05-10,2025-05-20,9999-12-31,confirmed,1119087,20000,25000,1114087,cod,paid
207,640,2025-06-05,2025-06-10,9999-12-31,pending,373029,48000,87000,334029,cod,paid
208,443,2025-09-15,2025-09-24,2025-09-18,shipping,1370548,27000,76000,1321548,cod,refunded
209,931,2024-08-18,2024-08-24,2024-08-19,delivered,2709384,10000,34000,2685384,cod,refunded
210,95,2025-03-24,2025-03-29,2025-03-27,shipping,909273,15000,17000,907273,cod,refunded
211,524,2024-09-24,2024-09-29,2024-09-26,delivered,1420302,31000,96000,1355302,cod,paid
212,330,2025-03-01,2025-03-10,2025-03-03,shipping,2028360,24000,76000,1976360,cod,paid
213,394,2024-11-05,2024-11-12,2024-11-07,delivered,207660,44000,24000,227660,cod,paid
214,455,2024-09-27,2024-10-03,2024-09-30,delivered,1657783,13000,11000,1659783,cod,paid
215,834,2024-10-28,2024-11-05,9999-12-31,confirmed,1318497,32000,71000,1279497,cod,refunded
216,1000,2024-07-19,2024-07-28,9999-12-31,confirmed,1135519,14000,98000,1051519,cod,paid
217,790,2025-06-29,2025-07-04,2025-07-01,delivered,1839950,41000,79000,1801950,cod,paid
218,732,2025-02-04,2025-02-13,9999-12-31,confirmed,2902437,14000,47000,2869437,cod,paid
219,914,2024-12-03,2024-12-11,9999-12-31,confirmed,373029,32000,56000,349029,cod,paid
220,887,2024-10-22,2024-10-27,9999-12-31,confirmed,2260392,12000,27000,2245392,cod,refunded
221,456,2025-02-05,2025-02-14,2025-02-07,delivered,1352240,29000,33000,1348240,cod,paid
222,382,2025-10-22,2025-10-27,9999-12-31,confirmed,2473779,48000,18000,2503779,cod,paid
223,624,2024-12-27,2025-01-02,2024-12-30,delivered,2260392,35000,54000,2241392,cod,paid
224,683,2025-08-24,2025-09-01,2025-08-26,delivered,2064555,38000,42000,2060555,cod,pending
225,878,2025-10-15,2025-10-25,2025-10-18,delivered,303091,36000,63000,276091,cod,paid
226,869,2024-11-22,2024-12-01,2024-11-24,delivered,1865145,20000,56000,1829145,cod,paid
227,875,2025-08-02,2025-08-08,2025-08-03,delivered,1119087,19000,45000,1093087,cod,pending
228,739,2024-09-09,2024-09-15,9999-12-31,pending,3298323,43000,84000,3257323,cod,refunded
229,451,2024-08-07,2024-08-13,9999-12-31,confirmed,2177503,47000,46000,2178503,cod,paid
230,859,2024-08-23,2024-09-02,9999-12-31,cancelled,1785868,12000,23000,1774868,cod,pending
231,134,2025-09-27,2025-10-07,9999-12-31,confirmed,251461,29000,24000,256461,cod,paid
232,453,2025-06-10,2025-06-20,2025-06-11,delivered,754383,46000,48000,752383,cod,pending
233,581,2025-08-28,2025-09-05,2025-08-30,delivered,2471903,49000,91000,2429903,cod,refunded
234,100,2024-09-28,2024-10-07,9999-12-31,confirmed,1715286,28000,82000,1661286,cod,paid
235,182,2024-08-27,2024-09-01,2024-08-29,delivered,2861154,38000,13000,2886154,cod,paid
236,229,2025-09-28,2025-10-05,2025-09-29,delivered,909273,36000,83000,862273,cod,refunded
237,147,2025-08-11,2025-08-18,2025-08-14,delivered,1814078,45000,67000,1792078,cod,paid
238,936,2025-05-08,2025-05-16,9999-12-31,confirmed,2668138,34000,66000,2636138,cod,paid
239,180,2024-07-02,2024-07-12,2024-07-03,delivered,2479652,17000,72000,2424652,cod,refunded
240,29,2024-08-07,2024-08-17,2024-08-10,delivered,1684185,18000,71000,1631185,cod,paid
241,546,2025-07-01,2025-07-06,2025-07-04,shipping,2942764,26000,60000,2908764,cod,paid
242,375,2025-03-13,2025-03-19,2025-03-16,shipping,3217385,38000,59000,3196385,cod,paid
243,375,2025-03-20,2025-03-30,2025-03-21,shipping,754383,15000,20000,749383,cod,refunded
244,328,2024-11-25,2024-12-05,2024-11-27,delivered,2062822,45000,58000,2049822,cod,paid
245,550,2025-01-25,2025-02-01,2025-01-26,shipping,2096637,17000,36000,2077637,cod,paid
246,191,2024-08-26,2024-09-05,2024-08-28,shipping,3116156,14000,35000,3095156,cod,paid
247,726,2024-10-21,2024-10-27,9999-12-31,cancelled,303091,19000,89000,233091,cod,failed
248,946,2024-11-27,2024-12-05,9999-12-31,pending,2412498,43000,47000,2408498,cod,paid
249,833,2025-06-09,2025-06-17,9999-12-31,cancelled,1119087,12000,70000,1061087,cod,paid
250,637,2025-08-02,2025-08-11,2025-08-03,delivered,1534407,16000,75000,1475407,cod,paid
251,554,2025-05-06,2025-05-14,9999-12-31,confirmed,1161378,41000,87000,1115378,cod,refunded
252,109,2025-08-13,2025-08-20,2025-08-15,delivered,590747,20000,72000,538747,cod,paid
253,477,2024-08-07,2024-08-14,2024-08-08,delivered,2716796,41000,51000,2706796,cod,failed
254,847,2025-05-21,2025-05-31,9999-12-31,cancelled,1456219,37000,20000,1473219,cod,refunded
255,794,2024-10-31,2024-11-06,9999-12-31,pending,909273,13000,60000,862273,cod,refunded
256,98,2024-09-22,2024-09-28,9999-12-31,confirmed,3353077,21000,92000,3282077,cod,paid
257,888,2025-05-25,2025-06-04,2025-05-28,delivered,3595318,39000,82000,3552318,cod,paid
258,431,2024-08-10,2024-08-15,2024-08-11,delivered,3682570,11000,70000,3623570,cod,paid
259,593,2025-01-15,2025-01-20,2025-01-18,delivered,792058,35000,68000,759058,cod,refunded
260,69,2025-02-11,2025-02-20,9999-12-31,cancelled,676120,37000,86000,627120,cod,paid
261,815,2025-01-11,2025-01-17,2025-01-13,shipping,1727721,16000,44000,1699721,cod,pending
262,56,2025-04-06,2025-04-12,2025-04-09,shipping,2634542,33000,84000,2583542,cod,paid
263,744,2025-02-13,2025-02-19,2025-02-14,delivered,1213727,18000,67000,1164727,cod,pending
264,820,2025-10-16,2025-10-22,9999-12-31,confirmed,2238174,32000,25000,2245174,cod,failed
265,470,2025-02-13,2025-02-23,9999-12-31,cancelled,1880285,48000,61000,1867285,cod,failed
266,636,2024-10-21,2024-10-26,2024-10-23,delivered,2081130,23000,42000,2062130,cod,refunded
267,753,2024-09-15,2024-09-24,2024-09-16,delivered,590747,37000,72000,555747,cod,paid
268,357,2024-08-17,2024-08-25,2024-08-19,shipping,746058,10000,51000,705058,cod,paid
269,755,2025-10-17,2025-10-27,9999-12-31,confirmed,2701956,11000,62000,2650956,cod,paid
270,273,2025-01-10,2025-01-19,2025-01-11,delivered,1672129,40000,11000,1701129,cod,paid
271,718,2025-05-13,2025-05-23,2025-05-16,delivered,2170688,39000,71000,2138688,cod,paid
272,101,2025-06-19,2025-06-26,2025-06-22,shipping,2814381,18000,73000,2759381,cod,paid
273,577,2025-07-09,2025-07-15,2025-07-12,delivered,1655331,42000,39000,1658331,cod,paid
274,430,2025-06-16,2025-06-25,9999-12-31,confirmed,1119087,41000,95000,1065087,cod,paid
275,83,2025-03-14,2025-03-22,2025-03-16,delivered,1797659,20000,25000,1792659,cod,paid
276,602,2025-10-09,2025-10-19,9999-12-31,confirmed,138000,35000,18000,155000,cod,refunded
277,387,2025-07-10,2025-07-15,2025-07-13,delivered,1119087,19000,71000,1067087,cod,paid
278,1000,2025-06-03,2025-06-10,9999-12-31,confirmed,678572,46000,81000,643572,cod,failed
279,161,2025-03-09,2025-03-17,2025-03-12,delivered,1369038,39000,39000,1369038,cod,refunded
280,790,2025-02-01,2025-02-08,9999-12-31,cancelled,1422178,20000,65000,1377178,cod,paid
281,840,2025-02-16,2025-02-24,9999-12-31,confirmed,1119087,15000,43000,1091087,cod,refunded
282,290,2024-10-12,2024-10-19,2024-10-14,delivered,3153667,49000,96000,3106667,cod,paid
283,497,2024-07-20,2024-07-28,9999-12-31,confirmed,1318497,35000,28000,1325497,cod,failed
